stand_or_location,stand_code,x,y,zone,notes,stand_key
Stand L11,L11,652.9,968.7,main floor,detected from supplied floorplan PNG,Stand L11
Stand M12,M12,715.1,967.4,main floor,detected from supplied floorplan PNG,Stand M12
Stand L6,L6,652.5,1083.6,main floor,detected from supplied floorplan PNG,Stand L6
Stand M6,M6,715.5,1084.2,main floor,detected from supplied floorplan PNG,Stand M6
Stand L5,L5,653.1,1155.1,main floor,detected from supplied floorplan PNG,Stand L5
Stand M5,M5,716.2,1156.2,main floor,detected from supplied floorplan PNG,Stand M5
Stand L4,L4,652.7,1226.8,main floor,detected from supplied floorplan PNG,Stand L4
Stand M4,M4,715.3,1225.0,main floor,detected from supplied floorplan PNG,Stand M4
Stand M3,M3,684.0,1350.5,main floor,detected from supplied floorplan PNG,Stand M3
Stand L2,L2,652.5,1431.7,main floor,detected from supplied floorplan PNG,Stand L2
Stand M2,M2,715.6,1431.8,main floor,detected from supplied floorplan PNG,Stand M2
Stand L1,L1,652.6,1510.8,main floor,detected from supplied floorplan PNG,Stand L1
Stand M1,M1,715.5,1510.6,main floor,detected from supplied floorplan PNG,Stand M1
Stand N11,N11,806.5,611.5,main floor,detected from supplied floorplan PNG,Stand N11
Stand P11,P11,854.0,619.3,main floor,detected from supplied floorplan PNG,Stand P11
Stand N10,N10,806.7,675.4,main floor,detected from supplied floorplan PNG,Stand N10
Stand P10,P10,853.7,692.4,main floor,detected from supplied floorplan PNG,Stand P10
Stand N9,N9,805.6,726.7,main floor,detected from supplied floorplan PNG,Stand N9
Stand P9,P9,853.8,757.8,main floor,detected from supplied floorplan PNG,Stand P9
Stand N8,N8,806.8,774.3,main floor,detected from supplied floorplan PNG,Stand N8
Stand P8,P8,830.8,813.5,main floor,detected from supplied floorplan PNG,Stand P8
Stand N13,N13,806.7,889.6,main floor,detected from supplied floorplan PNG,Stand N13
Stand P14,P14,854.4,891.1,main floor,detected from supplied floorplan PNG,Stand P14
Stand N12,N12,806.3,937.5,main floor,detected from supplied floorplan PNG,Stand N12
Stand P13,P13,853.8,936.6,main floor,detected from supplied floorplan PNG,Stand P13
Stand P12,P12,830.3,983.9,main floor,detected from supplied floorplan PNG,Stand P12
Stand N7,N7,806.3,1083.4,main floor,detected from supplied floorplan PNG,Stand N7
Stand P7,P7,853.8,1092.0,main floor,detected from supplied floorplan PNG,Stand P7
Stand N6,N6,806.0,1156.2,main floor,detected from supplied floorplan PNG,Stand N6
Stand P6,P6,853.7,1162.3,main floor,detected from supplied floorplan PNG,Stand P6
Stand N5,N5,806.0,1225.4,main floor,detected from supplied floorplan PNG,Stand N5
Stand P5,P5,854.2,1225.9,main floor,detected from supplied floorplan PNG,Stand P5
Stand N4,N4,808.0,1344.0,main floor,detected from supplied floorplan PNG,Stand N4
Stand P4,P4,854.5,1343.1,main floor,detected from supplied floorplan PNG,Stand P4
Stand N3,N3,807.1,1408.1,main floor,detected from supplied floorplan PNG,Stand N3
Stand P3,P3,854.4,1408.2,main floor,detected from supplied floorplan PNG,Stand P3
Stand N2,N2,807.8,1455.8,main floor,detected from supplied floorplan PNG,Stand N2
Stand P2,P2,855.4,1456.6,main floor,detected from supplied floorplan PNG,Stand P2
Stand N1,N1,808.0,1519.5,main floor,detected from supplied floorplan PNG,Stand N1
Stand P1,P1,854.5,1518.7,main floor,detected from supplied floorplan PNG,Stand P1
Stand R7,R7,937.5,612.1,main floor,detected from supplied floorplan PNG,Stand R7
Stand R11,R11,937.5,675.0,main floor,detected from supplied floorplan PNG,Stand R11
Stand S9,S9,961.7,766.4,main floor,detected from supplied floorplan PNG,Stand S9
Stand R6,R6,937.3,889.0,main floor,detected from supplied floorplan PNG,Stand R6
Stand S8,S8,984.1,889.5,main floor,detected from supplied floorplan PNG,Stand S8
Stand R8,R8,937.6,960.6,main floor,detected from supplied floorplan PNG,Stand R8
Stand S7,S7,984.3,937.0,main floor,detected from supplied floorplan PNG,Stand S7
Stand S6,S6,984.7,984.8,main floor,detected from supplied floorplan PNG,Stand S6
Stand R5,R5,937.2,1075.7,main floor,detected from supplied floorplan PNG,Stand R5
Stand S5,S5,984.2,1075.9,main floor,detected from supplied floorplan PNG,Stand S5
Stand R4,R4,937.3,1130.7,main floor,detected from supplied floorplan PNG,Stand R4
Stand S4,S4,984.5,1131.3,main floor,detected from supplied floorplan PNG,Stand S4
Stand R3,R3,937.2,1177.9,main floor,detected from supplied floorplan PNG,Stand R3
Stand S3,S3,984.1,1178.2,main floor,detected from supplied floorplan PNG,Stand S3
Stand R2,R2,937.0,1233.0,main floor,detected from supplied floorplan PNG,Stand R2
Stand S2,S2,984.8,1232.1,main floor,detected from supplied floorplan PNG,Stand S2
Stand S11,S11,962.6,1360.5,main floor,detected from supplied floorplan PNG,Stand S11
Stand R10,R10,938.0,1440.3,main floor,detected from supplied floorplan PNG,Stand R10
Stand S12,S12,984.9,1439.7,main floor,detected from supplied floorplan PNG,Stand S12
Stand R9,R9,937.5,1486.6,main floor,detected from supplied floorplan PNG,Stand R9
Stand S10,S10,984.6,1486.1,main floor,detected from supplied floorplan PNG,Stand S10
Stand R1,R1,938.0,1533.8,main floor,detected from supplied floorplan PNG,Stand R1
Stand S1,S1,984.8,1533.9,main floor,detected from supplied floorplan PNG,Stand S1
Stand Q18,Q18,1072.2,579.9,main floor,detected from supplied floorplan PNG,Stand Q18
Stand Q17,Q17,1072.2,623.0,main floor,detected from supplied floorplan PNG,Stand Q17
Stand Q16,Q16,1072.2,670.5,main floor,detected from supplied floorplan PNG,Stand Q16
Stand Q15,Q15,1072.2,718.8,main floor,detected from supplied floorplan PNG,Stand Q15
Stand Q14,Q14,1072.2,768.8,main floor,detected from supplied floorplan PNG,Stand Q14
Stand Q21,Q21,1072.2,815.8,main floor,detected from supplied floorplan PNG,Stand Q21
Stand Q20,Q20,1072.2,862.8,main floor,detected from supplied floorplan PNG,Stand Q20
Stand Q19,Q19,1072.2,910.6,main floor,detected from supplied floorplan PNG,Stand Q19
Stand Q13,Q13,1072.2,962.6,main floor,detected from supplied floorplan PNG,Stand Q13
Stand Q12,Q12,1072.2,1009.3,main floor,detected from supplied floorplan PNG,Stand Q12
Stand Q11,Q11,1072.2,1053.1,main floor,detected from supplied floorplan PNG,Stand Q11
Stand Q10,Q10,1072.2,1099.7,main floor,detected from supplied floorplan PNG,Stand Q10
Stand Q9,Q9,1072.2,1149.0,main floor,detected from supplied floorplan PNG,Stand Q9
Stand Q8,Q8,1072.2,1194.3,main floor,detected from supplied floorplan PNG,Stand Q8
Stand Q7,Q7,1072.2,1241.8,main floor,detected from supplied floorplan PNG,Stand Q7
Stand Q6,Q6,1072.2,1343.6,main floor,detected from supplied floorplan PNG,Stand Q6
Stand Q5,Q5,1072.2,1392.1,main floor,detected from supplied floorplan PNG,Stand Q5
Stand Q4,Q4,1072.2,1439.0,main floor,detected from supplied floorplan PNG,Stand Q4
Stand Q3,Q3,1072.2,1487.9,main floor,detected from supplied floorplan PNG,Stand Q3
Stand Q2,Q2,1072.2,1538.8,main floor,detected from supplied floorplan PNG,Stand Q2
Stand B1,B1,90.1,1622.2,bottom row,detected from supplied floorplan PNG,Stand B1
Stand B2,B2,136.6,1622.2,bottom row,detected from supplied floorplan PNG,Stand B2
Stand B3,B3,183.5,1622.2,bottom row,detected from supplied floorplan PNG,Stand B3
Stand B4,B4,231.1,1622.2,bottom row,detected from supplied floorplan PNG,Stand B4
Stand F1,F1,277.5,1622.2,bottom row,detected from supplied floorplan PNG,Stand F1
Stand F2,F2,360.1,1622.2,bottom row,detected from supplied floorplan PNG,Stand F2
Stand F3,F3,407.1,1622.2,bottom row,detected from supplied floorplan PNG,Stand F3
Stand F4,F4,453.8,1622.2,bottom row,detected from supplied floorplan PNG,Stand F4
Stand Q23,Q23,897.7,1622.2,bottom row,detected from supplied floorplan PNG,Stand Q23
Stand Q22,Q22,1000.8,1622.2,bottom row,detected from supplied floorplan PNG,Stand Q22
Sponsor Only,Sponsor Only,,,not plotted,No public stand position on supplied floorplan,Sponsor Only
