company,stand_or_location,profile_url,raw_href,logo_proxy_url,logo_original_url
Ambient Scientific,Sponsor Only,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjU4ODY=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MjU4ODY=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F962b0d65281a4c7297c459518ad90a0e.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/962b0d65281a4c7297c459518ad90a0e.png
Analog Devices,Stand N4,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MzcwMzI=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0MzcwMzI=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fb44fa2e97e8b4fa686a39bc8565f6bec.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/b44fa2e97e8b4fa686a39bc8565f6bec.png
Anglia Live,Stand H8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDg=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIzMTQ0NDg=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fc94f02c2a46e4612bb7e304ecaf5d2af.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/c94f02c2a46e4612bb7e304ecaf5d2af.png
Ansmann UK,Stand Q15,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjQ=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjQ=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fcdacb924288844e5aed566c68bdad875.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/cdacb924288844e5aed566c68bdad875.png
Apitronix Semiconductor,Startup Zone,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk3ODk=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzI0Njk3ODk=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fd75d06fcceb24c7692ccd023ee7c59d5.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/d75d06fcceb24c7692ccd023ee7c59d5.png
Ardencraft Technology,Stand G3,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjI=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MjI=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F30aa1bc5a8d34912886356cf0c45d996.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/30aa1bc5a8d34912886356cf0c45d996.png
Arrow,Stand L8,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzA=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzA=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F86ebf1fcc22a4b069b0aefdcf878ec63.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/86ebf1fcc22a4b069b0aefdcf878ec63.png
ASK Technology,Stand A18,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2Mjg=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2Mjg=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F9761bd6b98e14c06921181eabae1b121.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/9761bd6b98e14c06921181eabae1b121.png
Astute Electronics,Stand H6,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2Mjk=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2Mjk=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2F09928afd42584da1bad6c140c167bb14.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/09928afd42584da1bad6c140c167bb14.png
Asunny Circuits,Stand A7,https://app.swapcard.com/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzQ=,/widget/event/hardware-pioneers-max-26/exhibitor/RXhoaWJpdG9yXzIyNTI2MzQ=,https://img.swapcard.com/?o=webp&u=https%3A%2F%2Fstatic.swapcard.com%2Fpublic%2Fimages%2Fc7dfba9982184da8b848a575034d7181.png&q=0.8&m=fit&w=448&h=224,https://static.swapcard.com/public/images/c7dfba9982184da8b848a575034d7181.png
